# chipvoice register log v1
# name: song-golden
# chip: 2a03
# clock: 1789773
# cycles: 7159092
# source: packages/chipvoice/test/golden.mjs
# notes: through the driver and the sequencer
0 4015 0F
3064594 4006 52
3064594 400C 38
3064594 400E 03
3094423 4000 7C
3094423 4006 FB
3094423 400C 34
3094423 400E 01
3124253 4000 7B
3124253 4006 AB
3124253 400C 32
3124253 400E 00
3154082 4006 52
3154082 400C 30
3183912 4006 FB
3213742 4002 50
3213742 4006 AB
3243571 4002 4F
3243571 4006 52
3273401 4002 50
3273401 4006 FB
3303230 4002 52
3303230 4006 AB
3333060 4008 00
3333060 400B 03
3333060 4002 55
3333060 4006 52
3358179 4008 FF
3358179 400A F8
3358179 400B FB
3358179 400C 36
3358179 400E 8D
3358179 400F F8
3362889 4002 56
3362889 4006 FB
3388009 400C 33
3392719 4002 55
3392719 4006 AB
3417838 400C 31
3422548 4002 52
3422548 4006 52
3447668 400C 30
3452378 4002 50
3452378 4006 FB
3482207 4002 4F
3482207 4006 AB
3512037 4002 50
3512037 4006 52
3541867 4002 52
3541867 4006 FB
3571696 4002 55
3571696 4006 AB
3601526 4002 56
3601526 4006 52
3631355 4002 55
3631355 4006 FB
3661185 4002 52
3661185 4006 AB
3686304 4008 00
3686304 400B 03
3691014 4000 30
3691014 4006 52
3711424 4008 FF
3711424 400A F8
3711424 400B FB
3711424 4000 7F
3711424 4001 08
3711424 4002 1C
3711424 4003 F9
3711424 400C 3C
3711424 400E 09
3711424 400F F8
3720844 4006 FB
3741254 4000 7E
3741254 400C 3A
3750673 4006 AB
3771083 4000 7D
3771083 400C 37
3780503 4006 52
3800913 4000 7C
3800913 400C 34
3810333 4006 FB
3830742 4000 7B
3830742 400C 32
3840162 4006 AB
3860572 400C 31
3869992 4006 52
3890401 400C 30
3899821 4006 FB
3920231 4002 1A
3929651 4006 AB
3950060 4002 19
3959480 4006 52
3979890 4002 1A
3989310 4006 FB
4009720 4002 1C
4019139 4006 AB
4039549 4008 00
4039549 400B 03
4039549 4000 30
4048969 4006 52
4064669 4008 FF
4064669 400A F8
4064669 400B FB
4064669 4000 7F
4064669 4001 08
4064669 4002 FD
4064669 4003 F8
4064669 400C 36
4064669 400E 8D
4064669 400F F8
4078798 4006 FB
4094498 4000 7E
4094498 400C 33
4108628 4006 AB
4124328 4000 7D
4124328 400C 31
4138458 4006 52
4154157 4000 7C
4154157 400C 30
4168287 4006 FB
4183987 4000 7B
4198117 4006 AB
4227946 4006 52
4257776 4006 FB
4273476 4002 FB
4287605 4006 AB
4317435 4006 52
4347264 4006 FB
4362964 4002 FD
4377094 4006 AB
4392794 4008 00
4392794 400B 03
4392794 4002 FF
4406924 4006 52
4417913 4008 FF
4417913 400A F8
4417913 400B FB
4417913 400C 3D
4417913 400E 06
4417913 400F F8
4422623 4002 00
4422623 4003 F9
4436753 4006 FB
4447743 400C 3B
4447743 400E 04
4452453 4002 FF
4452453 4003 F8
4466583 4006 AB
4477572 400C 38
4477572 400E 03
4482282 4002 FD
4496412 4006 52
4507402 400C 34
4507402 400E 01
4512112 4002 FB
4526242 4006 FB
4537232 400C 32
4537232 400E 00
4556071 4006 AB
4567061 400C 30
4585901 4006 52
4601601 4002 FD
4615730 4006 FB
4631430 4002 FF
4645560 4006 AB
4661260 4002 00
4661260 4003 F9
4675389 4006 52
4691089 4002 FF
4691089 4003 F8
4705219 4006 FB
4720919 4002 FD
4735049 4006 AB
4746038 4008 00
4746038 400B 03
4750748 4000 30
4764878 4006 52
4771158 4008 FF
4771158 400A F8
4771158 400B FB
4771158 4000 7F
4771158 4001 08
4771158 4002 E1
4771158 4003 F8
4771158 400C 36
4771158 400E 8D
4771158 400F F8
4794708 4006 FB
4800988 4000 7E
4800988 400C 33
4824537 4006 AB
4830817 4000 7D
4830817 400C 31
4854367 4006 52
4860647 4000 7C
4860647 400C 30
4884196 4006 FB
4890476 4000 7B
4914026 4006 AB
4943855 4006 52
4947780 400C 3D
4947780 400E 06
4947780 400F F8
4973685 4006 FB
4977610 400C 3B
4977610 400E 04
4979965 4002 E0
5003515 4006 AB
5007439 400C 38
5007439 400E 03
5009794 4002 DF
5033344 4006 52
5037269 400C 34
5037269 400E 01
5039624 4002 E0
5063174 4006 FB
5067099 400C 32
5067099 400E 00
5069454 4002 E1
5093003 4006 AB
5096928 400C 30
5099283 4008 00
5099283 400B 03
5099283 4000 30
5122833 4006 52
5124403 4008 FF
5124403 400A F8
5124403 400B FB
5124403 4000 7F
5124403 4001 08
5124403 4002 D5
5124403 4003 F8
5124403 400C 3C
5124403 400E 09
5124403 400F F8
5152662 4006 FB
5154232 4000 7E
5154232 400C 3A
5182492 4006 AB
5184062 4000 7D
5184062 400C 37
5212321 4006 52
5213891 4000 7C
5213891 400C 34
5242151 4006 FB
5243721 4000 7B
5243721 400C 32
5271980 4006 AB
5273550 400C 31
5301810 4006 52
5303380 400C 30
5331640 4006 FB
5333210 4002 D3
5361469 4006 AB
5391299 4006 52
5421128 4006 FB
5422698 4002 D5
5450958 4006 AB
5452528 4008 00
5452528 400B 03
5452528 4002 D6
5477647 4008 FF
5477647 400A 74
5477647 400B FC
5477647 400C 36
5477647 400E 8D
5477647 400F F8
5480787 4006 52
5482357 4002 D7
5507477 400C 33
5510617 4006 FB
5512187 4002 D6
5537306 400C 31
5540446 4006 AB
5542016 4002 D5
5567136 400C 30
5570276 4006 52
5571846 4002 D3
5600106 4006 FB
5629935 4006 AB
5659765 4006 52
5661335 4002 D5
5689594 4006 FB
5691164 4002 D6
5719424 4006 AB
5720994 4002 D7
5749253 4006 52
5750823 4002 D6
5779083 4004 30
5780653 4002 D5
5805772 4008 00
5805772 400B 04
5810482 4000 30
5830892 4008 FF
5830892 400A F8
5830892 400B FB
5830892 4000 7F
5830892 4001 08
5830892 4002 52
5830892 4003 F9
5830892 4004 39
5830892 4005 08
5830892 4006 FB
5830892 4007 F9
5830892 400C 3D
5830892 400E 06
5830892 400F F8
5860722 4000 7E
5860722 4004 38
5860722 4006 AB
5860722 400C 3B
5860722 400E 04
5890551 4000 7D
5890551 4004 37
5890551 4006 52
5890551 400C 38
5890551 400E 03
5920381 4000 7C
5920381 4006 FB
5920381 400C 34
5920381 400E 01
5950210 4000 7B
5950210 4006 AB
5950210 400C 32
5950210 400E 00
5980040 4006 52
5980040 400C 30
6009869 4006 FB
6039699 4002 50
6039699 4006 AB
6069528 4002 4F
6069528 4006 52
6099358 4002 50
6099358 4006 FB
6129188 4002 52
6129188 4006 AB
6159017 4008 00
6159017 400B 03
6159017 4002 55
6159017 4006 52
6184137 4008 FF
6184137 400A F8
6184137 400B FB
6184137 400C 36
6184137 400E 8D
6184137 400F F8
6188847 4002 56
6188847 4006 FB
6213966 400C 33
6218676 4002 55
6218676 4006 AB
6243796 400C 31
6248506 4002 52
6248506 4006 52
6273625 400C 30
6278335 4002 50
6278335 4006 FB
6308165 4002 4F
6308165 4006 AB
6337994 4002 50
6337994 4006 52
6367824 4002 52
6367824 4006 FB
6397653 4002 55
